CanonicalEventId,TimestampedScreenshotPath,TimestampedScreenshotFileName,HtmlMediaPath,HtmlMediaFileName,PhotosFolderPath,MessageAttachmentsPhotosPath,SHA256,SizeBytes,Dimensions,SameHashMatch,SameTimestampMatch,SameContentPossible,Notes
CE-001,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg,Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg,Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg,68F266EFC1CA43C620ACDAE4BE96844D6705F237AC0F23BED916E15ED0B98102,369909,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-002,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg,Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg,Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg,42037285CD32F5EEB7E12EFB5C4F19A414BCE25E90EC6E2448DE5B00A312A7E6,536954,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-003,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg,Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg,Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg,78DC921AB95969AE5825991D6295A4D68C9DA5DEC1BC2C67A7C8AEBE64F0A729,272510,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-004,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,E1BFF9B67CE70AF043F83505AED85BBDE5BF27DA1A1D1B6B4FF8213FAFD29322,164095,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-005,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg,87ACA0D3E894949ECDC718C82E88052BE73EC351024D8DF789E0D4B977FBD299,254679,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-006,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg,BFF7F9C4F04ACF193D74AC50B0C7BB2F2744E42507825CBEDA17D945465A294F,210955,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-007,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg,8A3C1943AB7C479A86A55D1F1F2817683753464109DBAFD75530E0C0F0D86A7E,358193,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-008,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg,396770C72B2966AEF888BB0ED0D759129E9E1B980E6AFFEB31226FB0DEEE2470,254626,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-009,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg,148C2FB4689B1D15679D7BFBC11B57D203715B49EA9AF91D88B080E9547DBB10,371150,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-010,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg,843172AFDB5765C9BBDA337C1546020DE4F29A2CBD61045A98475FA481737F0F,320125,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
