Path,FileName,SHA256,FileSize,CreatedTimeLocal,ModifiedTimeLocal,AccessedTimeLocal,PacketCopyPath,CopyHash,CopyHashStatus
C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg,E1BFF9B67CE70AF043F83505AED85BBDE5BF27DA1A1D1B6B4FF8213FAFD29322,164095,2024-05-01 14:46:12,2025-08-29 09:47:20,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\01_Screenshot_2024-04-19_at_7.22.24_PM.jpeg,E1BFF9B67CE70AF043F83505AED85BBDE5BF27DA1A1D1B6B4FF8213FAFD29322,Hash match
C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\01_Screenshot_2024-04-19_at_7.22.24_PM.jpeg,01_Screenshot_2024-04-19_at_7.22.24_PM.jpeg,E1BFF9B67CE70AF043F83505AED85BBDE5BF27DA1A1D1B6B4FF8213FAFD29322,164095,2026-06-04 12:52:47,2025-08-29 09:47:20,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\01_Screenshot_2024-04-19_at_7.22.24_PM.jpeg,E1BFF9B67CE70AF043F83505AED85BBDE5BF27DA1A1D1B6B4FF8213FAFD29322,Packet copy
C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\FILE_5531.pdf,FILE_5531.pdf,46FC44791F9A050C9F711BCE1732DB6E29AD5BB76D853C48B795E931E807D331,112934,2024-05-01 14:46:50,2025-08-29 09:47:18,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\02_FILE_5531.pdf,46FC44791F9A050C9F711BCE1732DB6E29AD5BB76D853C48B795E931E807D331,Hash match
C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\02_FILE_5531.pdf,02_FILE_5531.pdf,46FC44791F9A050C9F711BCE1732DB6E29AD5BB76D853C48B795E931E807D331,112934,2026-06-04 12:52:47,2025-08-29 09:47:18,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\02_FILE_5531.pdf,46FC44791F9A050C9F711BCE1732DB6E29AD5BB76D853C48B795E931E807D331,Packet copy
C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg,A64EB2285D62A3AABE20461397EEBFE3F1290DCEFBEA53A78DB187E919CDC329,387040,2024-05-01 14:46:50,2025-08-29 09:47:18,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\03_Screenshot_2024-04-25_at_12.50.49_PM.jpeg,A64EB2285D62A3AABE20461397EEBFE3F1290DCEFBEA53A78DB187E919CDC329,Hash match
C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\03_Screenshot_2024-04-25_at_12.50.49_PM.jpeg,03_Screenshot_2024-04-25_at_12.50.49_PM.jpeg,A64EB2285D62A3AABE20461397EEBFE3F1290DCEFBEA53A78DB187E919CDC329,387040,2026-06-04 12:52:20,2025-08-29 09:47:18,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\03_Screenshot_2024-04-25_at_12.50.49_PM.jpeg,A64EB2285D62A3AABE20461397EEBFE3F1290DCEFBEA53A78DB187E919CDC329,Packet copy
C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 10.44.16ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 10.44.16ΓÇ»PM.jpeg,9F03F455A70C734C3FB793547DADBFCCD3820C634945E3952AF12A5467E78EA8,313702,2024-05-01 14:46:14,2025-08-29 09:47:19,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\04_Screenshot_2024-04-25_at_10.44.16_PM.jpeg,9F03F455A70C734C3FB793547DADBFCCD3820C634945E3952AF12A5467E78EA8,Hash match
C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\04_Screenshot_2024-04-25_at_10.44.16_PM.jpeg,04_Screenshot_2024-04-25_at_10.44.16_PM.jpeg,9F03F455A70C734C3FB793547DADBFCCD3820C634945E3952AF12A5467E78EA8,313702,2026-06-04 12:52:20,2025-08-29 09:47:19,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\04_Screenshot_2024-04-25_at_10.44.16_PM.jpeg,9F03F455A70C734C3FB793547DADBFCCD3820C634945E3952AF12A5467E78EA8,Packet copy
C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,33F499A9943BD22BD4F156D74868451E2040EDB9A7181DC0578F606D4EF2D207,355374,2024-05-01 14:46:50,2025-08-29 09:47:20,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\05_Screenshot_2024-04-25_at_1.09.50_PM.jpeg,33F499A9943BD22BD4F156D74868451E2040EDB9A7181DC0578F606D4EF2D207,Hash match
C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\05_Screenshot_2024-04-25_at_1.09.50_PM.jpeg,05_Screenshot_2024-04-25_at_1.09.50_PM.jpeg,33F499A9943BD22BD4F156D74868451E2040EDB9A7181DC0578F606D4EF2D207,355374,2026-06-04 12:36:46,2025-08-29 09:47:20,2026-06-04 12:53:27,C:\Users\thoma\Documents\Cyber Crimes Tools\Final Reopen Packet POPD SA\Exhibit_Files_For_Submission\05_Screenshot_2024-04-25_at_1.09.50_PM.jpeg,33F499A9943BD22BD4F156D74868451E2040EDB9A7181DC0578F606D4EF2D207,Packet copy
