EventDateTime,EventType,ExhibitNumber,Description,WhyItMatters,Limitation,RecommendedFollowUp
2024-04-25 12:23:36,Screenshot/Image OCR,EX-062,"Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg - .11 cn 12:23 Brianna Tucker Brianna Tucker Hey! I was wondering if y'all are hiring? 11:19AM Florida Crystal Well & Sprinkler, Inc. • Steve Roberge 11m set for now. Have you tried water care well drilling 11:41 AM Briann",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024-04-25 12:23:36,Screenshot/Image OCR,EX-162,"Screenshot 2024-04-25 at 12.23.36ΓÇ»PM.jpeg - .11 cn 12:23 Brianna Tucker Brianna Tucker Hey! I was wondering if y'all are hiring? 11:19AM Florida Crystal Well & Sprinkler, Inc. • Steve Roberge 11m set for now. Have you tried water care well drilling 11:41 AM Briann",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024-04-25 12:26:18,Screenshot/Image OCR,EX-063,Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg - .11 cn 12:26 Chat Settings Personal Send read receipts Let businesses see when you've read their message Allow messages about your reviews Let businesses privately respond to your reviews through chat Business Florida Cr,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024-04-25 12:26:18,Screenshot/Image OCR,EX-163,Screenshot 2024-04-25 at 12.26.18ΓÇ»PM.jpeg - .11 cn 12:26 Chat Settings Personal Send read receipts Let businesses see when you've read their message Allow messages about your reviews Let businesses privately respond to your reviews through chat Business Florida Cr,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024-10-01 00:14:58,Unofficial hearing transcript SRT,EX-203,"THOMAS HURD V. ROBIN HURD 100124 Unofficial Transcript.srt - I was able to find financial statements, business names, EIN numbers in his name, so bank statements and the like.",Categories described in testimony are corroborated by OCR/PDF categories in the message sequence.,Transcript does not prove access method; verify against official transcript/audio.,"Compare testimony against exhibits showing EIN, bank, business, Gmail/Drive/account content."
2024/04/19 11:10:24,Screenshot/Image OCR,EX-001,Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg - 11:10 Posts Ariana Hurd Photos Amy Barber Ariana Hurd Mar 24 . Happy Birthday O Ariana Hurd Like Q Comment @ Send 14 friends posted on Ariana's timeline for her birthday. BIRTHDAY: MARCH 22 Ariana Hurd Wish Ariana a happ,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 11:10:24,Screenshot/Image OCR,EX-100,Screenshot 2024-04-19 at 11.10.03ΓÇ»AM.jpeg - 11:10 Posts Ariana Hurd Photos Amy Barber Ariana Hurd Mar 24 . Happy Birthday O Ariana Hurd Like Q Comment @ Send 14 friends posted on Ariana's timeline for her birthday. BIRTHDAY: MARCH 22 Ariana Hurd Wish Ariana a happ,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 11:15:04,Screenshot/Image OCR,EX-002,Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg - 11:14 Posts d) Like 5G8 Keegan Hurd Photos Q Comment @ Send Share Ariana Hurd is feeling blessed with Keegan Hurd. Jan 22 • Just had the most amazing beach photoshoot with my beautiful family of 9! It's always a challeng,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 11:15:04,Screenshot/Image OCR,EX-101,Screenshot 2024-04-19 at 11.14.53ΓÇ»AM.jpeg - 11:14 Posts d) Like 5G8 Keegan Hurd Photos Q Comment @ Send Share Ariana Hurd is feeling blessed with Keegan Hurd. Jan 22 • Just had the most amazing beach photoshoot with my beautiful family of 9! It's always a challeng,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 11:21:30,Screenshot/Image OCR,EX-003,"Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg - 11:21 49 Ariana > Never mind I have to go home now Bc I have been here for like 3 hours wed, Apr 10 at 3:44 PM Hey, how's it going? How was fishing? Today 11:20 AM Are you at school today? Can you call your dad ext Messa",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 11:21:30,Screenshot/Image OCR,EX-102,"Screenshot 2024-04-19 at 11.21.18ΓÇ»AM.jpeg - 11:21 49 Ariana > Never mind I have to go home now Bc I have been here for like 3 hours wed, Apr 10 at 3:44 PM Hey, how's it going? How was fishing? Today 11:20 AM Are you at school today? Can you call your dad ext Messa",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 19:22:35,Screenshot/Image OCR,EX-004,Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg - 7:22 Card Thomas Hurd VISA Explore offers Instant discounts Add card to Apple Pay Round Ups Lock card ATM $31 Off,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/19 19:22:35,Screenshot/Image OCR,EX-103,Screenshot 2024-04-19 at 7.22.24ΓÇ»PM.jpeg - 7:22 Card Thomas Hurd VISA Explore offers Instant discounts Add card to Apple Pay Round Ups Lock card ATM $31 Off,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/21 12:06:12,Screenshot/Image OCR,EX-099,beaches i.jpg - 12:05 Places :hes Sunglow Fishing Pier Temporarily closed Beach Quarters Daytona Wilbur Beach Toronita Ave public Beach access LTE Ire OALE asure Toronita Avenue Beach Park Winterhaven Park Winterhaven Beach Ponce Inlet ,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:28:44,Screenshot/Image OCR,EX-064,Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg - .11 12:28 Ray Section. My name is Ray. Apr 8 at 7:42 PM Hi. Please text Steve here +1 (386)_ 264-5875 Or call Apr 8 at 8:06PM • Read Ray Thank you. I just sent Steve a text. Apr 8 at 8:33 PM Florida Crystal Well & Sprink,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:28:44,Screenshot/Image OCR,EX-164,Screenshot 2024-04-25 at 12.28.23ΓÇ»PM.jpeg - .11 12:28 Ray Section. My name is Ray. Apr 8 at 7:42 PM Hi. Please text Steve here +1 (386)_ 264-5875 Or call Apr 8 at 8:06PM • Read Ray Thank you. I just sent Steve a text. Apr 8 at 8:33 PM Florida Crystal Well & Sprink,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:29:14,Screenshot/Image OCR,EX-065,"Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg - .11 12:29 Brianna Tucker Brianna Tucker Hey! I was wondering if y'all are hiring? 11:19AM Florida Crystal Well & Sprinkler, Inc. • Steve Roberge 11m set for now. Have you tried water care well drilling 11:41 AM Brianna T",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:29:14,Screenshot/Image OCR,EX-165,"Screenshot 2024-04-25 at 12.29.02ΓÇ»PM.jpeg - .11 12:29 Brianna Tucker Brianna Tucker Hey! I was wondering if y'all are hiring? 11:19AM Florida Crystal Well & Sprinkler, Inc. • Steve Roberge 11m set for now. Have you tried water care well drilling 11:41 AM Brianna T",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
