"Target","Type","Status","SizeGB","Message"
"EADesktop","Process","Stopped","0","PID 2600"
"EACefSubProcess","Process","Stopped","0","PID 14252"
"EACefSubProcess","Process","Stopped","0","PID 17436"
"EACefSubProcess","Process","Stopped","0","PID 17464"
"EACefSubProcess","Process","Stopped","0","PID 17472"
"EACefSubProcess","Process","Stopped","0","PID 19352"
,"Process","Stop failed","0","Cannot stop process ""EABackgroundService (17768)"" because of the following error: Access is denied"
"EALocalHostSvc","Process","Stopped","0","PID 18336"
"C:\Program Files\EA Games\STAR WARS Squadrons","Star Wars Squadrons folder","Delete failed","31.794","Access to the path is denied."
"C:\Program Files\Common Files\EAInstaller\STAR WARS Squadrons","Star Wars Squadrons folder","Delete failed","0.001","Access to the path is denied."
"C:\$Recycle.Bin","Recycle Bin","Emptied","0",""
