"Action","Path","Name","GB","Bytes","LastWriteTime","DeletedAt","SourceMap"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip","takeout-20260602T071913Z-11-009.zip","3.961","4252826611","7/6/2026 10:58:50 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-010.zip","takeout-20260602T071913Z-11-010.zip","3.851","4135303815","7/6/2026 10:58:46 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-011.zip","takeout-20260602T071913Z-11-011.zip","3.915","4203608776","7/6/2026 10:59:04 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-012.zip","takeout-20260602T071913Z-11-012.zip","3.961","4252873900","7/7/2026 2:18:00 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-013.zip","takeout-20260602T071913Z-11-013.zip","3.964","4255868456","7/7/2026 2:18:26 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-014.zip","takeout-20260602T071913Z-11-014.zip","3.965","4257832202","7/7/2026 2:18:34 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-015.zip","takeout-20260602T071913Z-11-015.zip","3.958","4250160337","7/7/2026 2:18:50 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-016.zip","takeout-20260602T071913Z-11-016.zip","3.961","4252841011","7/7/2026 2:18:30 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-017.zip","takeout-20260602T071913Z-11-017.zip","3.963","4255283930","7/7/2026 2:37:24 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-018.zip","takeout-20260602T071913Z-11-018.zip","3.962","4253850095","7/7/2026 2:37:55 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-019.zip","takeout-20260602T071913Z-11-019.zip","3.962","4254321611","7/7/2026 2:37:53 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-020.zip","takeout-20260602T071913Z-11-020.zip","3.962","4254582989","7/7/2026 2:37:57 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-021.zip","takeout-20260602T071913Z-11-021.zip","3.963","4254844702","7/7/2026 4:27:54 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-022.zip","takeout-20260602T071913Z-11-022.zip","3.962","4254214465","7/7/2026 8:51:38 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-023.zip","takeout-20260602T071913Z-11-023.zip","3.961","4252868068","7/7/2026 8:52:17 PM","2026-07-07T21:39:34","current_takeout_zips_source_map.csv / selective_source_map_20260707_212718.csv"
