CanonicalEventId,PrimaryExhibitNumber,EventType,CaptureTimestamp,TextedTimestamp,ElapsedSeconds,ConversationContact,ImagePathScanned,FileName,FileSize,SHA256,ReadableAsImage,ImageFormat,Width,Height,Dimensions,DPI,DPIX,DPIY,DeviceDimensionAssessment,DeviceMetadataPlainEnglish,EXIF_Make,EXIF_Model,EXIF_Software,EXIF_DateTimeOriginal,EXIF_DateTimeDigitized,EXIF_DateTime,EXIF_Orientation,EXIF_AllRelevant,MetadataError
CE-001,EX-001,Screenshot transmission,2024-04-19 11:10:03,2024/04/19 11:10:24,21,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-001_Screenshot_2024-04-19_at_11.10.03_AM.jpeg,CE-001_Screenshot_2024-04-19_at_11.10.03_AM.jpeg,369909,68F266EFC1CA43C620ACDAE4BE96844D6705F237AC0F23BED916E15ED0B98102,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-002,EX-002,Screenshot transmission,2024-04-19 11:14:53,2024/04/19 11:15:04,11,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-002_Screenshot_2024-04-19_at_11.14.53_AM.jpeg,CE-002_Screenshot_2024-04-19_at_11.14.53_AM.jpeg,536954,42037285CD32F5EEB7E12EFB5C4F19A414BCE25E90EC6E2448DE5B00A312A7E6,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-003,EX-003,Screenshot transmission,2024-04-19 11:21:18,2024/04/19 11:21:30,12,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-003_Screenshot_2024-04-19_at_11.21.18_AM.jpeg,CE-003_Screenshot_2024-04-19_at_11.21.18_AM.jpeg,272510,78DC921AB95969AE5825991D6295A4D68C9DA5DEC1BC2C67A7C8AEBE64F0A729,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-004,EX-004,Screenshot transmission,2024-04-19 19:22:24,2024/04/19 19:22:35,11,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-004_Screenshot_2024-04-19_at_7.22.24_PM.jpeg,CE-004_Screenshot_2024-04-19_at_7.22.24_PM.jpeg,164095,E1BFF9B67CE70AF043F83505AED85BBDE5BF27DA1A1D1B6B4FF8213FAFD29322,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-005,EX-062,Screenshot transmission,2024-04-25 12:23:36,,,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-005_Screenshot_2024-04-25_at_12.23.36_PM.jpeg,CE-005_Screenshot_2024-04-25_at_12.23.36_PM.jpeg,254679,87ACA0D3E894949ECDC718C82E88052BE73EC351024D8DF789E0D4B977FBD299,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-006,EX-063,Screenshot transmission,2024-04-25 12:26:18,,,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-006_Screenshot_2024-04-25_at_12.26.18_PM.jpeg,CE-006_Screenshot_2024-04-25_at_12.26.18_PM.jpeg,210955,BFF7F9C4F04ACF193D74AC50B0C7BB2F2744E42507825CBEDA17D945465A294F,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-007,EX-064,Screenshot transmission,2024-04-25 12:28:23,2024/04/25 12:28:44,21,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-007_Screenshot_2024-04-25_at_12.28.23_PM.jpeg,CE-007_Screenshot_2024-04-25_at_12.28.23_PM.jpeg,358193,8A3C1943AB7C479A86A55D1F1F2817683753464109DBAFD75530E0C0F0D86A7E,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-008,EX-065,Screenshot transmission,2024-04-25 12:29:02,2024/04/25 12:29:14,12,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-008_Screenshot_2024-04-25_at_12.29.02_PM.jpeg,CE-008_Screenshot_2024-04-25_at_12.29.02_PM.jpeg,254626,396770C72B2966AEF888BB0ED0D759129E9E1B980E6AFFEB31226FB0DEEE2470,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-009,EX-066,Screenshot transmission,2024-04-25 12:32:17,2024/04/25 12:32:46,29,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-009_Screenshot_2024-04-25_at_12.32.17_PM.jpeg,CE-009_Screenshot_2024-04-25_at_12.32.17_PM.jpeg,371150,148C2FB4689B1D15679D7BFBC11B57D203715B49EA9AF91D88B080E9547DBB10,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
CE-010,EX-067,Screenshot transmission,2024-04-25 12:33:27,2024/04/25 12:33:47,20,Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\_forensic_outputs\Case_Presentation_Dark\Integrated_Takeout_With_Images\media\CE-010_Screenshot_2024-04-25_at_12.33.27_PM.jpeg,CE-010_Screenshot_2024-04-25_at_12.33.27_PM.jpeg,320125,843172AFDB5765C9BBDA337C1546020DE4F29A2CBD61045A98475FA481737F0F,Yes,JPEG,1170,2532,1170x2532,216.0x216.0,216.0,216.0,Matches Elijah iPhone reference dimensions and 216 DPI,"The image pixel dimensions are consistent with the Elijah iPhone reference you provided (1170 x 2532). If DPI is 216, that also matches the reference. This supports device-class consistency but does not by itself identify the physical user.",,,,,,,1,"{""ResolutionUnit"": ""2"", ""Orientation"": ""1"", ""XResolution"": ""216.0"", ""YResolution"": ""216.0""}",
