Keyword,Timestamp,SourceService,SourceFile,RelativePath,IsGoogleSideRecord,IsDriveRelated,Snippet
Drive,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,Yes,"peof e && (C.jQuery = C.$ = S), S }); var takeout = new Object(); takeout.SERVICES = [ 'BOND','ALERTS','CHECKIN','CALENDAR','CHROME','CONTACTS','DISCOVER','DRIVE','FIT','AI_SANDBOX','GEMINI','CORTO','GOOGLE_ACCOUNT','GOOGLE_ADS','MY_BUSINESS','HANGOUTS_CHAT','GOOGLE_CLOUD_SEARCH','DEVELOPER_PLATFORM','EARTH','FEEDBACK','FI','GOOGLE_FINANCE','FITBIT','SUPPORT_CONTENT','MEET','GOOGLE_ONE','GOOGLE_PAY','PHOTOS','GOOGLE_STORE','GOOGLE_WALLET','APPS_MARKETPLACE','GROUPS','GMAIL','MAPS','LOCAL_ACTIONS','MY_ACTIVITY','MYMAPS','PERSONAL_SAFETY','ASSISTED_CALLING','BACKLIGHT','PROFIL"
Google Drive,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,Yes,"le-name""> Derek Sheavly.jpg Dia Becchio (Google Drive).jpg Dia Becchio.jpg Dia Becchio(1).jpg Diana Lync"
drive.google.com,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,Yes,"div class=""extracted-file-name""> youtube.com API Export.xlsx Data included Files you own that have been stored in your My Drive and Computers . More options to manage your privacy <img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGAAAABgCAMAAADVRocKAAAAqFBMVEUAAABChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRalPWsyvrn8P7///9Agew+fOSVuvnz9/6Js/g3a8UzYrW"
presentation,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,Yes,"div class=""table-row""> Adwords To Amazon_Stripe.docx AI Bot Summit Presentation.docx AI Ebook.m4a ait-itemInSpaBuyers1.csv.xlsx ait-itemMedSpaBuyerList.csv.xlsx <div cl"
spreadsheet,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,Yes,"f as well as contact info automatically saved from your interactions in Google products, like Gmail. How to handle this export If you downloaded your contacts as a CSV file, you can view them in a spreadsheet, or import them to Microsoft Outlook or another Google Account. If you downloaded your contacts as a vCard file, you can import them to another Google Account, Mac OS, iOS, or other contacts services. You're in control of your data in Contacts <img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGAAAABgCAIAAABt+uBvAAAKnE"
download,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,ve Backend.json Doom.json Download.CSV Download.CSV.xlsx Dr Glass Amazon Garcinia Pricing Strategy.xlsx Dr Glass Amazon Promo Codes.xlsx <div clas
viewed,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"BKhRE6AmQI2aADUBavwfk06V3xN53jsAAAAASUVORK5CYII="" target=""_blank""> Manage your data Developer Profile information can be viewed and deleted directly. More options to manage your privacy <img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGAAAABgCAMAAADVRocKAAAAqFBMVEUAAABChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRChfRalPWsyvrn8P7///9Agew+fOSVuvnz9/6Js/g3a8UzYrWmut+hwvo/fug0ZLlzk8xxpPdBg/A1Zr3m6/Y7dNVlnPY2acGZsdq/zuh9q/ezxOO40ft"
opened,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"display:none;""> Some file formats (e.g. html, png) will be viewable in your browser, and will appear as clickable links below that will open the file once you've fully extracted your archive. Other file types can be opened by their appropriate applications by navigating through the archive's directory. You can click on any folders that may be present to see their contents. Data that are still in the process of being deleted are not included in your archive. Learn more about your deleted data. <div class=""f"
HELO,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"9 2-2V8c0-1.1-.9-2-2-2zm0 12H4V8h16v10z""/> Music Publishing HELO Music Publishing.xlsx Peace Beyond the Storm Keegan Contemplative.mp4 <path d=""M0 0h24v24"
statement,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"9 2-2V8c0-1.1-.9-2-2-2zm0 12H4V8h16v10z""/> 2021 Taxes venmo_statement (1).csv venmo_statement (1).xlsx venmo_statement (2).csv <div class=""extracted-file-"
merchant,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"ed-file-name""> ‎May ‎2011 - Shortcut.lnk Merchant Processing Ads.xlsx Micah Screaming Face.jpg Micah Screaming.jpg <div class=""extract"
Stripe,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"ted-file-name""> customers.xlsx iMechanix Stripe Customers.xlsx iMechanix_Uber Services Orders.xlsx Kasee Vermeulen Armrest.docx <div"
Jonathan,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"name""> john.howell@probusfitness.com.jpg Jonathan Beauchamp.jpg jonbrenda brown.jpg jose mota.jpg Jo"
Ariana,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"ld extracted-file-name""> Antia Geada.jpg ariana hurd 💗.jpg arscode.pro@gmail.com.jpg Ashleigh Biller.jpg <div class=""extracted-file-"
Venmo,,Unknown,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\archive_browser.html,Takeout/archive_browser.html,Yes,No,"0 2-.9 2-2V8c0-1.1-.9-2-2-2zm0 12H4V8h16v10z""/> 2021 Taxes venmo_statement (1).csv venmo_statement (1).xlsx venmo_statement (2).csv <div class=""extra"
