SourceFolder,Exists,FileCount,KeywordHits,DriveTimelineRows,ExampleFiles,Notes
Takeout\My Activity\Drive,Yes,1,4,0,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Drive\MyActivity.html,Drive content/export folder; file presence does not by itself prove view/open/download activity.
Takeout\My Activity\Docs,No,0,0,0,,Folder not present in extracted Takeout.
Takeout\My Activity\Sheets,No,0,0,0,,Folder not present in extracted Takeout.
Takeout\My Activity\Slides,No,0,0,0,,Folder not present in extracted Takeout.
Takeout\My Activity\Search,Yes,1,24,1,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Search\MyActivity.html,
Takeout\Drive,Yes,8018,8250,1,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\-Appraisal-Rules-Updated-2024.pdf; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\...jpg; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\0404171439.jpg; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\0404171439a.jpg; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\17019 - Product Profile - GARCINIA 65 HCA.pdf,Drive content/export folder; file presence does not by itself prove view/open/download activity.
Takeout\Google Account,Yes,2,6,0,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Account\keeganhurd.ChangeHistory.html; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Account\keeganhurd.SubscriberInfo.html,
Takeout\Access Log Activity,Yes,2,1,0,"C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Access Log Activity\Activities - A list of Google services accessed by.csv; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Access Log Activity\Devices - A list of devices (i.e. Nest, Pixel, iPh.csv","Access Log Activity present, but prior parse found no April 19-26, 2024 access-log rows."
Takeout\Chrome,Yes,9,36,0,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Chrome\Addresses and more.json; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Chrome\Bookmarks.html; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Chrome\Device Information.json; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Chrome\Dictionary.csv; C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Chrome\Extensions.json,
Takeout\Search,No,0,0,0,,Folder not present in extracted Takeout.
