TimestampUTC,Title,PhotoTakenTime,CreationTime,Latitude,Longitude,HasGeoData,NearestReferencePoint,DistanceMetersToReferencePoint,GooglePhotosOrigin,SourceZipFilename,EntryPath,ExtractedPath,MediaPath,Notes
2024-04-19 23:01:08,IMG_2815.JPG,"Apr 19, 2024, 11:01:08 PM UTC","Sep 4, 2024, 9:14:36 PM UTC",29.0639583,-81.02524439999999,Yes,Observed_PalmVista_like_cluster_from_metadata,6.3,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2815.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2815.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-20 16:37:06,DB2E91BC-2B22-4950-8A8C-D355D9F07258.jpg,"Apr 20, 2024, 4:37:06 PM UTC","Sep 4, 2024, 9:14:37 PM UTC",,,No,,,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\DB2E91BC-2B22-4950-8A8C-D355D9F07258.jpg.suppl.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\DB2E91BC-2B22-4950-8A8C-D355D9F07258.jpg,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-20 16:39:41,3DDA3414-5239-443E-89AA-A0B5280427BC.jpg,"Apr 20, 2024, 4:39:41 PM UTC","Sep 4, 2024, 9:14:39 PM UTC",,,No,,,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\3DDA3414-5239-443E-89AA-A0B5280427BC.jpg.suppl.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\3DDA3414-5239-443E-89AA-A0B5280427BC.jpg,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 14:39:09,IMG_2818.PNG,"Apr 21, 2024, 2:39:09 PM UTC","Sep 4, 2024, 9:14:38 PM UTC",,,No,,,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2818.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2818.PNG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 15:49:27,IMG_2819.JPG,"Apr 21, 2024, 3:49:27 PM UTC","Sep 4, 2024, 9:14:43 PM UTC",29.063961099999997,-81.02524439999999,Yes,Observed_PalmVista_like_cluster_from_metadata,6.1,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2819.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2819.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 15:49:35,IMG_2820.JPG,"Apr 21, 2024, 3:49:35 PM UTC","Sep 4, 2024, 9:14:44 PM UTC",29.063961099999997,-81.02524439999999,Yes,Observed_PalmVista_like_cluster_from_metadata,6.1,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2820.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2820.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 15:49:52,IMG_2821.JPG,"Apr 21, 2024, 3:49:52 PM UTC","Sep 4, 2024, 9:14:46 PM UTC",29.063972200000002,-81.0252306,Yes,Observed_PalmVista_like_cluster_from_metadata,4.3,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2821.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2821.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 15:50:08,IMG_2822.JPG,"Apr 21, 2024, 3:50:08 PM UTC","Sep 4, 2024, 9:14:48 PM UTC",29.063972200000002,-81.0252222,Yes,Observed_PalmVista_like_cluster_from_metadata,3.8,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2822.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2822.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 15:50:09,IMG_2823.JPG,"Apr 21, 2024, 3:50:09 PM UTC","Sep 4, 2024, 9:14:48 PM UTC",29.063975,-81.0252139,Yes,Observed_PalmVista_like_cluster_from_metadata,3.1,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2823.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2823.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
2024-04-21 15:56:27,IMG_2824.JPG,"Apr 21, 2024, 3:56:27 PM UTC","Sep 4, 2024, 9:14:50 PM UTC",29.063961099999997,-81.02524439999999,Yes,Observed_PalmVista_like_cluster_from_metadata,6.1,"{""mobileUpload"": {""deviceType"": ""IOS_PHONE""}}",,,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2824.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2824.JPG,Coordinates compared only to local known reference points; target address coordinates not geocoded.
