Zip,SizeGB,Entries,Reason
takeout-20260602T071913Z-15-001.zip,0.0,5,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-003.zip,4.0,1698,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-004.zip,3.992,564,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-005.zip,3.963,51,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-006.zip,3.984,733,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-007.zip,3.972,316,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-008.zip,3.973,279,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-009.zip,3.972,240,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-010.zip,3.987,876,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-011.zip,3.969,135,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-012.zip,3.97,281,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-013.zip,3.972,338,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-014.zip,3.973,176,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-015.zip,4.0,973,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-016.zip,3.979,147,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-017.zip,3.961,85,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-018.zip,3.97,704,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-019.zip,3.961,160,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-020.zip,3.961,143,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-021.zip,3.961,163,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-022.zip,3.961,125,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-024.zip,3.961,61,No currently identified report source artifact mapped to this ZIP
takeout-20260602T071913Z-7-025.zip,3.962,6,No currently identified report source artifact mapped to this ZIP
