Start,End,Duration,Number of events,Services involved
2024-04-19 10:55:58,2024-04-19 10:56:47,0:00:49,4,Maps
2024-04-19 10:55:58,2024-04-19 10:56:47,0:00:49,3,Maps
2024-04-19 10:56:47,2024-04-19 11:01:14,0:04:27,5,Hotels; Maps
2024-04-19 10:56:47,2024-04-19 11:01:14,0:04:27,4,Hotels; Maps
2024-04-19 11:00:59,2024-04-19 11:01:14,0:00:15,3,Hotels; Maps
2024-04-19 11:52:22,2024-04-19 11:52:23,0:00:01,5,Maps
2024-04-19 11:52:23,2024-04-19 11:52:23,0:00:00,4,Maps
2024-04-19 11:52:23,2024-04-19 11:52:23,0:00:00,3,Maps
2024-04-19 12:32:25,2024-04-19 12:36:18,0:03:53,5,Hotels; Maps; YouTube
2024-04-19 12:35:02,2024-04-19 12:36:18,0:01:16,4,Hotels; Maps
2024-04-19 12:35:22,2024-04-19 12:36:18,0:00:56,3,Maps
2024-04-19 13:38:46,2024-04-19 13:42:14,0:03:28,5,Hotels; Maps
2024-04-19 13:38:46,2024-04-19 13:42:14,0:03:28,4,Hotels; Maps
2024-04-19 13:39:01,2024-04-19 13:42:14,0:03:13,3,Hotels; Maps
2024-04-19 18:27:46,2024-04-19 18:28:19,0:00:33,3,Search
2024-04-19 18:56:07,2024-04-19 18:57:43,0:01:36,4,Search
2024-04-19 18:56:18,2024-04-19 18:57:43,0:01:25,3,Search
2024-04-19 19:36:05,2024-04-19 19:37:53,0:01:48,5,Search
2024-04-19 19:36:16,2024-04-19 19:37:53,0:01:37,4,Search
2024-04-19 19:37:16,2024-04-19 19:37:53,0:00:37,3,Search
2024-04-19 20:21:58,2024-04-19 20:22:02,0:00:04,3,Hotels; Maps
2024-04-19 22:23:20,2024-04-19 22:25:52,0:02:32,6,Search
2024-04-19 22:23:51,2024-04-19 22:25:52,0:02:01,5,Search
2024-04-19 22:23:57,2024-04-19 22:25:52,0:01:55,4,Search
2024-04-19 22:24:31,2024-04-19 22:25:52,0:01:21,3,Search
2024-04-19 22:34:22,2024-04-19 22:35:15,0:00:53,4,Search
2024-04-19 22:34:34,2024-04-19 22:35:15,0:00:41,3,Search
2024-04-20 11:53:47,2024-04-20 11:55:07,0:01:20,10,Maps; YouTube
2024-04-20 11:54:05,2024-04-20 11:55:07,0:01:02,9,Maps; YouTube
2024-04-20 11:54:33,2024-04-20 11:55:07,0:00:34,8,Maps; YouTube
2024-04-20 11:54:33,2024-04-20 11:55:07,0:00:34,7,Maps; YouTube
2024-04-20 11:54:33,2024-04-20 11:55:07,0:00:34,6,Maps; YouTube
2024-04-20 11:54:33,2024-04-20 11:55:07,0:00:34,5,Maps; YouTube
2024-04-20 11:54:33,2024-04-20 11:55:07,0:00:34,4,Maps; YouTube
2024-04-20 11:54:33,2024-04-20 11:55:07,0:00:34,3,Maps; YouTube
2024-04-20 12:33:19,2024-04-20 12:33:48,0:00:29,7,Hotels; Maps
2024-04-20 12:33:41,2024-04-20 12:33:48,0:00:07,6,Maps
2024-04-20 12:33:48,2024-04-20 12:33:48,0:00:00,5,Maps
2024-04-20 12:33:48,2024-04-20 12:33:48,0:00:00,4,Maps
2024-04-20 12:33:48,2024-04-20 12:33:48,0:00:00,3,Maps
2024-04-20 15:49:11,2024-04-20 15:50:46,0:01:35,7,Maps
2024-04-20 15:49:51,2024-04-20 15:50:46,0:00:55,6,Maps
2024-04-20 15:49:51,2024-04-20 15:50:46,0:00:55,5,Maps
2024-04-20 15:49:51,2024-04-20 15:50:46,0:00:55,4,Maps
