SourceZip,SourceZipFilename,EntryPath,ExtractedPath,EntrySize,EntryModified,ExtractedStatus
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Elijah_s Jeep Part 1.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Elijah_s Jeep Part 1.mp4,439519164,2026-06-02 00:22:08,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Elijah Playing & Learning.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Elijah Playing & Learning.mp4,786286599,2026-06-02 00:22:30,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Music Song Lyrics Cruise Promotion.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Music Song Lyrics Cruise Promotion.mp4,13290719,2026-06-02 00:23:04,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/It Works Ultimate Makeover.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\It Works Ultimate Makeover.mp4,88149725,2026-06-02 00:23:06,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Complimentary Cruise.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Complimentary Cruise.mp4,35280866,2026-06-02 00:23:10,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Amoupon Indiegogo Launch.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Amoupon Indiegogo Launch.mp4,25502246,2026-06-02 00:23:10,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Nerium Ad Products _ Buy Nerium Today.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Nerium Ad Products _ Buy Nerium Today.mp4,60730494,2026-06-02 00:23:12,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Purim 2015.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Purim 2015.mp4,230180303,2026-06-02 00:23:14,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Dr Glass Garcinia Cambogia Cartoon.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Dr Glass Garcinia Cambogia Cartoon.mp4,120967914,2026-06-02 00:23:26,SkipMedia
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,Takeout/YouTube and YouTube Music/videos/Nerium Products.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\YouTube and YouTube Music\videos\Nerium Products.mp4,116334723,2026-06-02 00:23:30,SkipMedia
