Zip,Extracted new files,Errors
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071912Z-001.zip,1,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-001.zip,167,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-13-001.zip,17726,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-15-001.zip,5,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-001.zip,1299,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-002.zip,278,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-003.zip,1698,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-004.zip,564,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-005.zip,51,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-006.zip,733,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-007.zip,316,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-008.zip,279,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-009.zip,240,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-010.zip,876,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-011.zip,135,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-012.zip,281,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-013.zip,338,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-014.zip,176,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-015.zip,973,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-016.zip,147,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-017.zip,85,0
