Keyword,Source File,Snippet
Jonathan,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"typography--title"">youtube.com
 Visited Jonathan Cahn: Unlocking Mysteries of the Bible (Full Teaching ... 
Jan 22, 2026, 5:17:23 PM EDT
 Products: 
&emsp"
Breas,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"Visited Air Fryer Chicken Breast Recipe (Tender & Juicy!) - Platings + Pairings 
Oct 24, 2025, 2:25:51 PM EDT
 <div class=""content-cell mdl-cell mdl-"
Helo,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"ss=""header-cell mdl-cell mdl-cell--12-col""> Ads
 Searched for helo pay Port Orange, FL
Sep 29, 2020, 1:21:59 PM EDT
 Products: 
 Ads
 Details: 
 www.yellowpag"
Merchant,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,s_a_fiid%3D%26ds_a_lid%3D%26ds_a_extid%3D%26%26ds_e_adid%3D%26ds_e_matchtype%3D%26ds_e_device%3Dm%26ds_e_network%3Dx%26ds_e_product_group_id%3D%26ds_e_product_id%3D%26ds_e_product_merchant_id%3D6382239%26ds_e_product_country%3D%26ds_e_product_language%3D%26ds_e_product_channel%3Donline%26ds_e_product_store_id%3D%26ds_url_v%3D2%26ds_dest_url%3Dhttps://www.kohls.com/catalog/sephora-hair-care.jsp%3FCN%3DPartnership:Sephora%2BCategory:Hair%2520Care%26CID%3Dshopping30%26utm_campaign%3DSSCSephora%26ut
Bank,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"ss=""outer-cell mdl-cell mdl-cell--12-col mdl-shadow--2dp""> Found: Business Banking - Apps on Google Play
 Used Found: Business Banking - Apps on Google Play 
Apr 26, 2026, 8:27:51 AM EDT
 <div class=""content-cell mdl-cell mdl-"
Banking,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"ss=""outer-cell mdl-cell mdl-cell--12-col mdl-shadow--2dp""> Found: Business Banking - Apps on Google Play
 Used Found: Business Banking - Apps on Google Play 
Apr 26, 2026, 8:27:51 AM EDT
 <div class=""content-cell mdl-cell mdl-"
Savings,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"-typography--title"">Ads
 Visited https://www.publix.com/savings/all-deals/?types=Weekly%20Ad%20Items&keyword=coca-cola&dclid=%edclid! 
Feb 10, 2026, 12:18:16 AM EDT
 <div class=""content-cell mdl-ce"
Tax,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"om
 Visited FICA Tax Calculator - Omni Calculator 
Mar 4, 2026, 11:15:12 PM EDT
 Products:"
EIN,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"onaire - Apps on Google Play
 Used Temu: Shop Like a Billionaire - Apps on Google Play 
Mar 2, 2026, 11:12:22 AM EDT
 Products: 
&e"
Password,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"ock
 Used App Lock - Fingerprint Lock 
Jul 31, 2025, 9:07:32 AM EDT
 Products: 
 Ads
 Details:"
