SourceZip,SourceZipFilename,EntryPath,ExtractedPath,MatchedText,MatchedTerms,Snippet
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2864.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2864.JPG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_2864.JPG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2864.JPG.supplemental-metadata.json { ""title"": ""IMG_2864.JPG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725485884"", ""formatted"": ""Sep 4, 2024, 9:38:04 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714088647"", ""formatted"": ""Apr 25, 2024, 11:44:07 PM UTC"" }, ""geoData"": { ""latitude"": 29.064086099999997, ""longitude"": -81.02515559999999, ""altitude"": 10.648952478283086, ""latitudeSpan"": 0.0..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3054.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3054.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3054.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3054.PNG.supplemental-metadata.json { ""title"": ""IMG_3054.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484534"", ""formatted"": ""Sep 4, 2024, 9:15:34 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714062542"", ""formatted"": ""Apr 25, 2024, 4:29:02 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3060.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3060.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3060.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3060.PNG.supplemental-metadata.json { ""title"": ""IMG_3060.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484541"", ""formatted"": ""Sep 4, 2024, 9:15:41 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714063617"", ""formatted"": ""Apr 25, 2024, 4:46:57 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3052.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3052.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3052.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3052.PNG.supplemental-metadata.json { ""title"": ""IMG_3052.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484532"", ""formatted"": ""Sep 4, 2024, 9:15:32 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714062379"", ""formatted"": ""Apr 25, 2024, 4:26:19 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2857.MOV.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2857.MOV.supplemental-metadata.json,"Apr 24, 2024",,"IMG_2857.MOV.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2857.MOV.supplemental-metadata.json { ""title"": ""IMG_2857.MOV"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725533694"", ""formatted"": ""Sep 5, 2024, 10:54:54 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714001547"", ""formatted"": ""Apr 24, 2024, 11:32:27 PM UTC"" }, ""geoData"": { ""latitude"": 29.1192, ""longitude"": -81.06479999999999, ""altitude"": 16.81, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3053.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3053.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3053.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3053.PNG.supplemental-metadata.json { ""title"": ""IMG_3053.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484533"", ""formatted"": ""Sep 4, 2024, 9:15:33 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714062503"", ""formatted"": ""Apr 25, 2024, 4:28:23 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2856.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2856.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2856.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2856.PNG.supplemental-metadata.json { ""title"": ""IMG_2856.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484530"", ""formatted"": ""Sep 4, 2024, 9:15:30 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713912626"", ""formatted"": ""Apr 23, 2024, 10:50:26 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://pho..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2853.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2853.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2853.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2853.PNG.supplemental-metadata.json { ""title"": ""IMG_2853.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484527"", ""formatted"": ""Sep 4, 2024, 9:15:27 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883896"", ""formatted"": ""Apr 23, 2024, 2:51:36 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2852.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2852.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2852.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2852.PNG.supplemental-metadata.json { ""title"": ""IMG_2852.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484525"", ""formatted"": ""Sep 4, 2024, 9:15:25 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883889"", ""formatted"": ""Apr 23, 2024, 2:51:29 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3051.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3051.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3051.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3051.PNG.supplemental-metadata.json { ""title"": ""IMG_3051.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484531"", ""formatted"": ""Sep 4, 2024, 9:15:31 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714062217"", ""formatted"": ""Apr 25, 2024, 4:23:37 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2855.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2855.JPG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2855.JPG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2855.JPG.supplemental-metadata.json { ""title"": ""IMG_2855.JPG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484531"", ""formatted"": ""Sep 4, 2024, 9:15:31 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713896888"", ""formatted"": ""Apr 23, 2024, 6:28:08 PM UTC"" }, ""geoData"": { ""latitude"": 29.0640333, ""longitude"": -81.0252222, ""altitude"": 5.7897605893186, ""latitudeSpan"": 0.0, ""longitudeSpan"":..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3088.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3088.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3088.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3088.PNG.supplemental-metadata.json { ""title"": ""IMG_3088.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484562"", ""formatted"": ""Sep 4, 2024, 9:16:02 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714065645"", ""formatted"": ""Apr 25, 2024, 5:20:45 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2854.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2854.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2854.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2854.PNG.supplemental-metadata.json { ""title"": ""IMG_2854.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484530"", ""formatted"": ""Sep 4, 2024, 9:15:30 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713886497"", ""formatted"": ""Apr 23, 2024, 3:34:57 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
