SourceZip,SourceZipFilename,EntryPath,ExtractedPath,MatchedTerms,April19_26_2024Mention,Snippet
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-028.zip,takeout-20260602T071913Z-7-028.zip,Takeout/Google Photos/Photos from 2013/Elijah_s first steps (8) Summer 2010.MOV.suppl.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah_s first steps (8) Summer 2010.MOV.suppl.json,IRS; Elijah,No,"Elijah_s first steps (8) Summer 2010.MOV.suppl.json Takeout/Google Photos/Photos from 2013/Elijah_s first steps (8) Summer 2010.MOV.suppl.json { ""title"": ""Elijah's first steps (8) Summer 2010.MOV"", ""description"": """", ""imageViews"": ""11"", ""creationTime"": { ""timestamp"": ""1377503237"", ""formatted"": ""Aug 26, 2013, 7:47:17 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1362105630"", ""formatted"": ""Mar 1, 2013, 2:40:30 AM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpa..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-028.zip,takeout-20260602T071913Z-7-028.zip,"Takeout/Google Photos/Keegan, Robin/20210514_082914.mp4.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\20210514_082914.mp4.supplemental-metadata.json",Robin,No,"20210514_082914.mp4.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/20210514_082914.mp4.supplemental-metadata.json { ""title"": ""20210514_082914.mp4"", ""description"": """", ""imageViews"": ""24"", ""creationTime"": { ""timestamp"": ""1621169228"", ""formatted"": ""May 16, 2021, 12:47:08 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1620995626"", ""formatted"": ""May 14, 2021, 12:33:46 PM UTC"" }, ""geoData"": { ""latitude"": 29.279999999999998, ""longitude"": -81.0807, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""l..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-029.zip,takeout-20260602T071913Z-7-029.zip,Takeout/Google Photos/Photos from 2013/Nicolle Micah Elijah BW 10x8.jpg.supplemental-.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Nicolle Micah Elijah BW 10x8.jpg.supplemental-.json,Elijah,No,"Nicolle Micah Elijah BW 10x8.jpg.supplemental-.json Takeout/Google Photos/Photos from 2013/Nicolle Micah Elijah BW 10x8.jpg.supplemental-.json { ""title"": ""Nicolle Micah Elijah BW 10x8.jpg"", ""description"": """", ""imageViews"": ""48"", ""creationTime"": { ""timestamp"": ""1390546332"", ""formatted"": ""Jan 24, 2014, 6:52:12 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1362307545"", ""formatted"": ""Mar 3, 2013, 10:45:45 AM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-029.zip,takeout-20260602T071913Z-7-029.zip,Takeout/Google Photos/Photos from 2025/IMG_3941.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2025\IMG_3941.JPG.supplemental-metadata.json,Mom,No,"IMG_3941.JPG.supplemental-metadata.json Takeout/Google Photos/Photos from 2025/IMG_3941.JPG.supplemental-metadata.json { ""title"": ""IMG_3941.JPG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1769542123"", ""formatted"": ""Jan 27, 2026, 7:28:43 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1754860670"", ""formatted"": ""Aug 10, 2025, 9:17:50 PM UTC"" }, ""geoData"": { ""latitude"": 29.1109361, ""longitude"": -81.0360333, ""altitude"": 9.936244962628733, ""latitudeSpan"": 0.0, ""longitudeSpan..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/IMG_20170201_162634.jpg.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\IMG_20170201_162634.jpg.supplemental-metadata.json",Robin,No,"IMG_20170201_162634.jpg.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/IMG_20170201_162634.jpg.supplemental-metadata.json { ""title"": ""IMG_20170201_162634.jpg"", ""description"": """", ""imageViews"": ""10"", ""creationTime"": { ""timestamp"": ""1608659401"", ""formatted"": ""Dec 22, 2020, 5:50:01 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1485984396"", ""formatted"": ""Feb 1, 2017, 9:26:36 PM UTC"" }, ""geoData"": { ""latitude"": 29.099399999999996, ""longitude"": -80.9864056, ""altitude"": -30.0, ""latitude..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/IMG_20151213_191726.jpg.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\IMG_20151213_191726.jpg.supplemental-metadata.json",Robin,No,"IMG_20151213_191726.jpg.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/IMG_20151213_191726.jpg.supplemental-metadata.json { ""title"": ""IMG_20151213_191726.jpg"", ""description"": """", ""imageViews"": ""17"", ""creationTime"": { ""timestamp"": ""1608659401"", ""formatted"": ""Dec 22, 2020, 5:50:01 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1450052245"", ""formatted"": ""Dec 14, 2015, 12:17:25 AM UTC"" }, ""geoData"": { ""latitude"": 29.099752799999997, ""longitude"": -80.9865889, ""altitude"": -31.0, ""latitu..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/1129171048.jpg.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\1129171048.jpg.supplemental-metadata.json",Robin,No,"1129171048.jpg.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/1129171048.jpg.supplemental-metadata.json { ""title"": ""1129171048.jpg"", ""description"": """", ""imageViews"": ""14"", ""creationTime"": { ""timestamp"": ""1608659401"", ""formatted"": ""Dec 22, 2020, 5:50:01 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1511970517"", ""formatted"": ""Nov 29, 2017, 3:48:37 PM UTC"" }, ""geoData"": { ""latitude"": 29.0805347, ""longitude"": -81.0252158, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 },..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/IMG_20151128_092508.jpg.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\IMG_20151128_092508.jpg.supplemental-metadata.json",Robin,No,"IMG_20151128_092508.jpg.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/IMG_20151128_092508.jpg.supplemental-metadata.json { ""title"": ""IMG_20151128_092508.jpg"", ""description"": """", ""imageViews"": ""11"", ""creationTime"": { ""timestamp"": ""1608659401"", ""formatted"": ""Dec 22, 2020, 5:50:01 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1448720709"", ""formatted"": ""Nov 28, 2015, 2:25:09 PM UTC"" }, ""geoData"": { ""latitude"": 29.099963899999995, ""longitude"": -80.98765829999999, ""altitude"": 0.0, ""la..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/20210514_115038.mp4.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\20210514_115038.mp4.supplemental-metadata.json",Robin,No,"20210514_115038.mp4.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/20210514_115038.mp4.supplemental-metadata.json { ""title"": ""20210514_115038.mp4"", ""description"": """", ""imageViews"": ""22"", ""creationTime"": { ""timestamp"": ""1621169228"", ""formatted"": ""May 16, 2021, 12:47:08 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1621007639"", ""formatted"": ""May 14, 2021, 3:53:59 PM UTC"" }, ""geoData"": { ""latitude"": 29.279799999999994, ""longitude"": -81.0805, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""lo..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/IMG_20150623_155532.jpg.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\IMG_20150623_155532.jpg.supplemental-metadata.json",Robin,No,"IMG_20150623_155532.jpg.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/IMG_20150623_155532.jpg.supplemental-metadata.json { ""title"": ""IMG_20150623_155532.jpg"", ""description"": """", ""imageViews"": ""10"", ""creationTime"": { ""timestamp"": ""1608659401"", ""formatted"": ""Dec 22, 2020, 5:50:01 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1435089333"", ""formatted"": ""Jun 23, 2015, 7:55:33 PM UTC"" }, ""geoData"": { ""latitude"": 29.224895200000002, ""longitude"": -81.0071134, ""altitude"": -0.0, ""latitude..."
