SourceZipFilename,FilesExtracted,BytesExtracted,CaseKeywordHitFiles,April19_26_2024HitFiles
takeout-20260602T071913Z-7-026.zip,37,4252293489,0,0
takeout-20260602T071913Z-7-027.zip,20,4252431030,0,0
takeout-20260602T071913Z-7-028.zip,215,4294675729,2,0
takeout-20260602T071913Z-7-029.zip,266,4294334997,2,0
takeout-20260602T071913Z-7-030.zip,3,4253271655,0,0
takeout-20260602T071913Z-7-031.zip,72,4252400078,0,0
takeout-20260602T071913Z-7-032.zip,338,4294334603,11,0
takeout-20260602T071913Z-7-033.zip,207,4267369365,0,0
takeout-20260602T071913Z-7-034.zip,97,4252388695,0,0
takeout-20260602T071913Z-7-035.zip,175,4252338941,0,0
takeout-20260602T071913Z-7-036.zip,159,4252349112,1,0
takeout-20260602T071913Z-7-037.zip,872,4272136899,2,0
takeout-20260602T071913Z-7-038.zip,686,4269582259,4,0
takeout-20260602T071913Z-7-039.zip,175,4262311955,3,0
takeout-20260602T071913Z-7-040.zip,726,4290490714,11,0
takeout-20260602T071913Z-7-041.zip,516,4264353498,0,0
takeout-20260602T071913Z-7-042.zip,144,4252357129,0,0
takeout-20260602T071913Z-7-043.zip,530,4267168355,3,0
takeout-20260602T071913Z-7-044.zip,199,4254304864,5,0
takeout-20260602T071913Z-7-045.zip,232,4265390264,2,0
takeout-20260602T071913Z-7-046.zip,521,4280316838,3,43
takeout-20260602T071913Z-7-047.zip,173,4252339764,2,0
takeout-20260602T071913Z-7-048.zip,684,4276620808,28,9
