Zip,ZipFilename,Status,ZipSize,UncompressedBytes,FileEntries,ExtractedNewFiles,SkippedExisting,Errors
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Processed,4252945568,4252293489,37,37,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-027.zip,takeout-20260602T071913Z-7-027.zip,Processed,4253085455,4252431030,20,20,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-028.zip,takeout-20260602T071913Z-7-028.zip,Processed,4295011328,4294675729,215,215,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-029.zip,takeout-20260602T071913Z-7-029.zip,Processed,4295022160,4294334997,266,266,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-030.zip,takeout-20260602T071913Z-7-030.zip,Processed,4253921713,4253271655,3,3,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-031.zip,takeout-20260602T071913Z-7-031.zip,Processed,4253054066,4252400078,72,72,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,Processed,4295039333,4294334603,338,338,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-033.zip,takeout-20260602T071913Z-7-033.zip,Processed,4268051651,4267369365,207,207,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-034.zip,takeout-20260602T071913Z-7-034.zip,Processed,4253057651,4252388695,97,97,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-035.zip,takeout-20260602T071913Z-7-035.zip,Processed,4253016232,4252338941,175,175,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-036.zip,takeout-20260602T071913Z-7-036.zip,Processed,4253042625,4252349112,159,159,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-037.zip,takeout-20260602T071913Z-7-037.zip,Processed,4272747853,4272136899,872,872,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-038.zip,takeout-20260602T071913Z-7-038.zip,Processed,4270362877,4269582259,686,686,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-039.zip,takeout-20260602T071913Z-7-039.zip,Processed,4262993848,4262311955,175,175,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Processed,4291216152,4290490714,726,726,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-041.zip,takeout-20260602T071913Z-7-041.zip,Processed,4265108007,4264353498,516,516,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-042.zip,takeout-20260602T071913Z-7-042.zip,Processed,4253017725,4252357129,144,144,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-043.zip,takeout-20260602T071913Z-7-043.zip,Processed,4267505938,4267168355,530,530,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-044.zip,takeout-20260602T071913Z-7-044.zip,Processed,4254479115,4254304864,199,199,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-045.zip,takeout-20260602T071913Z-7-045.zip,Processed,4266110876,4265390264,232,232,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Processed,4281043706,4280316838,521,521,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-047.zip,takeout-20260602T071913Z-7-047.zip,Processed,4253048259,4252339764,173,173,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-048.zip,takeout-20260602T071913Z-7-048.zip,Processed,4277400778,4276620808,684,684,0,0
