SourceZip,SourceZipFilename,EntryPath,ExtractedPath,EntrySize,EntryModified,ExtractedStatus
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210612_222738.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210612_222738.mp4,866665259,2026-06-02 00:22:52,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210526_193041.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210526_193041.mp4,627443266,2026-06-02 00:23:22,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210912_124457.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210912_124457.mp4,2114714208,2026-06-02 00:23:46,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210516_182846.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210516_182846.mp4,550233017,2026-06-02 00:24:52,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210516_130436.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210516_130436.mp4,59121285,2026-06-02 00:25:08,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210514_193001.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210514_193001.mp4,27535768,2026-06-02 00:25:08,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210515_151109.jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210515_151109.jpg,1788773,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210519_172541(1).jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210519_172541(1).jpg,3589715,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2017/Screenshot_20170810-214642.png,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2017\Screenshot_20170810-214642.png,1178951,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210512_190946.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210512_190946.mp4.supplemental-metadata.json,832,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210511_161853.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210511_161853.mp4.supplemental-metadata.json,876,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210525_190717.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210525_190717.mp4.supplemental-metadata.json,874,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210513_092618.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210513_092618.mp4.supplemental-metadata.json,830,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/Starbucks Ormond 5.13.21.mp4.supplemental-meta.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\Starbucks Ormond 5.13.21.mp4.supplemental-meta.json,615,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210511_153912.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210511_153912.jpg.supplemental-metadata.json,846,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210511_161623.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210511_161623.mp4.supplemental-metadata.json,722,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210511_153909.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210511_153909.jpg.supplemental-metadata.json,860,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2010/Nov 2010 (2).MOV.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2010\Nov 2010 (2).MOV.supplemental-metadata.json,569,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210511_143552.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210511_143552.mp4.supplemental-metadata.json,831,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210607_152842.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210607_152842.jpg.supplemental-metadata.json,872,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210509_161605.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210509_161605.jpg.supplemental-metadata.json,845,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210509_161539.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210509_161539.jpg.supplemental-metadata.json,841,2026-06-02 00:25:10,Extracted
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-026.zip,takeout-20260602T071913Z-7-026.zip,Takeout/Google Photos/Photos from 2021/20210511_141132.mp4.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2021\20210511_141132.mp4.supplemental-metadata.json,828,2026-06-02 00:25:10,Extracted
