Zip,ZipFilename,Status,ZipSize,UncompressedBytes,SelectedBytes,FileEntries,ExtractedNewFiles,SkippedExisting,SkippedByPolicy,Errors
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,ProcessedSelective,4252826611,4254271533,0,71,0,63,8,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-010.zip,takeout-20260602T071913Z-11-010.zip,ProcessedSelective,4135303815,4252350384,0,156,0,150,6,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-011.zip,takeout-20260602T071913Z-11-011.zip,ProcessedSelective,4203608776,4252197300,0,412,0,382,30,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-012.zip,takeout-20260602T071913Z-11-012.zip,ProcessedSelective,4252873900,4257371981,574373465,505,479,0,26,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-013.zip,takeout-20260602T071913Z-11-013.zip,ProcessedSelective,4255868456,4255627932,925007808,656,622,0,34,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-014.zip,takeout-20260602T071913Z-11-014.zip,ProcessedSelective,4257832202,4257085368,550206049,443,412,0,31,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-015.zip,takeout-20260602T071913Z-11-015.zip,ProcessedSelective,4250160337,4252443279,494796397,255,221,0,34,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-016.zip,takeout-20260602T071913Z-11-016.zip,ProcessedSelective,4252841011,4252283777,378618407,267,258,0,9,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-017.zip,takeout-20260602T071913Z-11-017.zip,ProcessedSelective,4255283930,4256829481,888064266,620,590,0,30,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-018.zip,takeout-20260602T071913Z-11-018.zip,ProcessedSelective,4253850095,4253312995,990821174,289,272,0,17,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-019.zip,takeout-20260602T071913Z-11-019.zip,ProcessedSelective,4254321611,4254357990,582805512,351,318,0,33,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-020.zip,takeout-20260602T071913Z-11-020.zip,ProcessedSelective,4254582989,4254612681,1086352341,512,481,0,31,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-021.zip,takeout-20260602T071913Z-11-021.zip,ProcessedSelective,4254844702,4254214353,194252882,151,120,0,31,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-022.zip,takeout-20260602T071913Z-11-022.zip,ProcessedSelective,4254214465,4253485494,491784674,263,248,0,15,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-023.zip,takeout-20260602T071913Z-11-023.zip,ProcessedSelective,4252868068,4252267825,363432978,294,267,0,27,0
