SourceZip,SourceZipFilename,EntryPath,ExtractedPath,EntrySize,EntryModified,ExtractedStatus
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Hurd Family Legal/July 11 Trial/VMC-Part3.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Hurd Family Legal\July 11 Trial\VMC-Part3.mp4,191850486,2023-07-06 17:17:42,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Movies/Peter.Pan.2003.1080p.BluRay.x264-[YTS.AG].mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Movies\Peter.Pan.2003.1080p.BluRay.x264-[YTS.AG].mp4,1840671880,2016-08-03 11:16:38,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Movies/The.Hiding.Place.DVDRip.XviD.Parkyns/The.Hiding.Place.DVDRip.XviD.Parkyns.avi,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Movies\The.Hiding.Place.DVDRip.XviD.Parkyns\The.Hiding.Place.DVDRip.XviD.Parkyns.avi,729110528,2011-01-01 04:23:16,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Pictures/2009/Time with Austin and Dara Nov 2009 (1).MOV,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Pictures\2009\Time with Austin and Dara Nov 2009 (1).MOV,42952759,2013-02-27 11:21:42,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,"Takeout/Drive/12-26-75/07 Ep. 6 Prosecution_s Case, Part Two.mp3","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\12-26-75\07 Ep. 6 Prosecution_s Case, Part Two.mp3",51912814,2017-06-08 11:33:44,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Pictures/2009/Time with Austin and Dara Nov 2009 (4).MOV,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Pictures\2009\Time with Austin and Dara Nov 2009 (4).MOV,103405635,2013-02-27 11:30:38,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Hurd Family Legal/July 11 Trial/VMC-Part2.mp4,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Hurd Family Legal\July 11 Trial\VMC-Part2.mp4,1178883937,2023-07-06 17:07:36,SkipLargeMediaEvenIfNamed
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Pictures/2011/Pals-Jan 2011 (4).JPG,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Pictures\2011\Pals-Jan 2011 (4).JPG,1577049,2013-02-28 11:21:24,SkippedExisting
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Pictures/2011/Pals-Jan 2011 (3).JPG,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Pictures\2011\Pals-Jan 2011 (3).JPG,1562074,2013-02-28 11:21:14,SkippedExisting
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-009.zip,takeout-20260602T071913Z-11-009.zip,Takeout/Drive/Expert IT/Recently denied(1).xlsx,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\Expert IT\Recently denied(1).xlsx,3194540,2018-08-16 22:42:48,SkippedExisting
